CD14,HADH,IDO1,IL6,LDHB,TDO2
7.60733031374961,8.339850002884624,4.807354922057604,4.807354922057604,11.857592285697526,15.7431513941125
8.86418614465428,7.189824558880018,10.755722153642282,10.669770888525518,11.072802534544207,16.59649552755684
2.807354922057604,9.231221180711186,2.807354922057604,2.584962500721156,12.876516946565,6
5.614709844115208,7.339850002884624,8.43879185257826,5.392317422778761,11.202736043250168,9.436711542137214
8.936637939002571,8.071462362556623,5.087462841250339,5.832890014164741,11.771902080697716,15.719575991208327
8.689997971419446,6.741466986401147,8.92184093707449,10.08214904135387,10.221587121264806,15.808084337176147
2.321928094887362,9.20945336562895,2.807354922057604,1.584962500721156,13.037546953962178,6
3.584962500721156,7.554588851677638,8.194756854422248,5.554588851677638,11.769424641552753,8.774787059601174
9.162391328756906,8.194756854422248,4.700439718141092,5,12.076147528022505,15.635179616208555
8.873444112515376,7.066089190457772,8.535275376620802,9.413627929024173,10.604553229079038,15.507794640198696
2,8.991521846075695,3.169925001442312,2.584962500721156,12.745044005034464,4.807354922057604
2.584962500721156,7.6653359171851765,5.357552004618084,3.700439718141092,11.647908074281807,5.392317422778761
