ACMSD,ADA,ADK,CCL13,CCL4,CCL5,CD14,CD163,CPS1,CTSD,CTSL,FAH,FASN,HADH,HK2,IDO1,IL6,IMPDH2,LAT,LDHB,LTC4S,MTF1,NT5E,PKM,PTGES,PTGS2,RPTOR,TDO2,ZNF708,ZNF93
4.392317422778761,8.238404739325079,10.474719946526482,5.672425341971495,12.00842862207058,12.036173612553485,7.60733031374961,8.873444112515376,3.9068905956085187,13.851749041416058,7.562242424221073,10.426264754702098,7.467605550082998,8.339850002884624,10.832098846039134,4.807354922057604,4.807354922057604,8.888743248898258,10.24198314969433,11.857592285697526,4.807354922057604,8.679480099505446,5.523561956057013,13.597121428789569,5.930737337562887,6.658211482751795,6.321928094887363,15.7431513941125,4.247927513443585,2.321928094887362
5.523561956057013,8.184875342908283,9.590587049915035,7.417852514885898,15.036173612553485,13.80966765898365,8.86418614465428,9.751544059089099,4.247927513443585,14.29023488931816,10.07815080773465,10.604553229079038,6.584962500721156,7.189824558880018,11.710806433699352,10.755722153642282,10.669770888525518,8.169925001442312,10.386940245324311,11.072802534544207,4.321928094887363,9.240791332161956,7.7615512324444795,13.947819546020028,7.294620748891627,9.296916206879288,5.930737337562887,16.59649552755684,4.700439718141092,3.169925001442312
1,7.066089190457772,13.018895621121649,3,6.087462841250339,10.653740778706569,2.807354922057604,3,6.22881869049588,11.993999791792524,2.321928094887362,8.92184093707449,7.149747119504682,9.231221180711186,8.848622940429339,2.807354922057604,2.584962500721156,10.088788238716907,8.199672344836364,12.876516946565,7.562242424221073,7.2384047393250786,3.321928094887362,11.461990950585571,1,3.4594316186372973,8.087462841250339,6,6.614709844115208,6.247927513443585
2.807354922057604,6.321928094887363,11.354800344350597,3,13.096879836303781,11.949097155729207,5.614709844115208,5.169925001442312,6,12.029977346589579,5.857980995127572,8.63662462054365,5.78135971352466,7.339850002884624,10.049848549450562,8.43879185257826,5.392317422778761,8.515699838284043,7.426264754702098,11.202736043250168,6.459431618637297,7.129283016944966,5.392317422778761,11.4893462407191,3.169925001442312,4.169925001442312,7.383704292474052,9.436711542137214,5.977279923499917,5.614709844115208
4.643856189774724,9.832890014164741,10.826548487290914,8.326429487122303,12.75509621030718,12.553149275598548,8.936637939002571,10.188588845707349,4.643856189774724,14.728558297786716,8.422064766172813,10.526499239136566,7.219168520462161,8.071462362556623,10.989394499844732,5.087462841250339,5.832890014164741,8.829722735086058,10.264442600226602,11.771902080697716,4.523561956057013,9.068778277985412,5.857980995127572,13.536975665610642,5.044394119358453,5.857980995127572,6.247927513443585,15.719575991208327,4.169925001442312,2.807354922057604
4.954196310386875,9.121533517340032,9.965784284662087,9.915879378835774,14.61585949358308,12.943430560383598,8.689997971419446,8.968666793195208,3.4594316186372973,13.826747082520203,10.03342300153745,10.091435386323607,5.857980995127572,6.741466986401147,10.57459352733761,8.92184093707449,10.08214904135387,7.294620748891627,9.558420713268664,10.221587121264806,4,8.63662462054365,6.6293566200796095,12.709299252712155,5.584962500721156,7.6865005271832185,5.087462841250339,15.808084337176147,4.247927513443585,2
2.321928094887362,7.219168520462161,12.139551352398794,1,5.930737337562887,10.066089190457772,2.321928094887362,3.169925001442312,5.930737337562887,11.712097051087547,2,9.079484783826816,7.693486957499325,9.20945336562895,8.974414589805527,2.807354922057604,1.584962500721156,10.247927513443585,7.643856189774724,13.037546953962178,7.149747119504682,6.870364719583405,2.584962500721156,11.643405277115674,1,3.584962500721156,7.651051691178929,6,5.954196310386875,5.700439718141092
2,6.894817763307944,11.207014320177532,2.321928094887362,12.786882193664699,11.81418188419028,3.584962500721156,4.247927513443585,6.108524456778169,12.389362455643884,2.807354922057604,9.074141462752506,6.149747119504682,7.554588851677638,9.79766152585376,8.194756854422248,5.554588851677638,8.918863237274595,7.417852514885898,11.769424641552753,6.321928094887363,6.94251450533924,5.20945336562895,11.918490592292311,0,4.807354922057604,7.159871336778389,8.774787059601174,5.882643049361842,5.20945336562895
4.643856189774724,10.151016538892248,10.868822554774999,8.022367813028454,12.249409785269128,12.519881922497428,9.162391328756906,10.080817527608327,4.906890595608519,15.003869231979056,8.243173983472952,10.833680748654741,7.826548487290915,8.194756854422248,11.138271800172221,4.700439718141092,5,9.3151495622563,10.139551352398794,12.076147528022505,4.584962500721156,8.965784284662087,6.149747119504682,13.724727001534445,6.20945336562895,5.78135971352466,6.339850002884624,15.635179616208555,4.087462841250339,2
4.459431618637297,9.228818690495881,9.935165049603695,9.030667136246942,14.008953779526196,13.117480772832984,8.873444112515376,9.348728154231077,3.807354922057604,14.214926187942435,9.489847960439297,10.339850002884624,6.022367813028454,7.066089190457772,10.753216749178955,8.535275376620802,9.413627929024173,7.918863237274595,9.364134655008051,10.604553229079038,3.584962500721156,8.682994583681683,7.312882955284356,12.945443836377912,5.727920454563199,7.044394119358453,5.700439718141092,15.507794640198696,3.700439718141092,2.321928094887362
2.321928094887362,7.257387842692652,12.306061689428342,3,4.087462841250339,9.896332403909941,2,2.321928094887362,6.129283016944966,12.257387842692651,2.321928094887362,9.139551352398794,7.918863237274595,8.991521846075695,8.754887502163468,3.169925001442312,2.584962500721156,10.029287226968245,6.918863237274595,12.745044005034464,7.845490050944375,6.894817763307944,3.584962500721156,11.305491792110685,2,3.807354922057604,7.614709844115208,4.807354922057604,6.149747119504682,6.149747119504682
1,6.339850002884624,11.65284497300198,2.321928094887362,7.700439718141092,10.131856960608793,2.584962500721156,2,5.906890595608519,12.054265139625764,0,8.515699838284043,6.554588851677638,7.6653359171851765,8.491853096329674,5.357552004618084,3.700439718141092,8.88264304936184,6.20945336562895,11.647908074281807,7.1799090900149345,6.6865005271832185,4.247927513443585,10.691743519171276,1.584962500721156,3.4594316186372973,7.312882955284356,5.392317422778761,5.523561956057013,5.523561956057013
